CustomerNo,Sex,Marital status,Age,Education,Income,Occupation,Size of Community
1,0,0,67,2,124670,1,2
2,1,1,22,1,150773,1,2
3,0,0,49,1,89210,0,0
4,0,0,45,1,171565,1,1
5,0,0,53,1,149031,1,1
6,0,0,35,1,144848,0,0
7,0,0,53,1,156495,1,1
8,0,0,35,1,193621,2,1
9,0,1,61,2,151591,0,0
10,0,1,28,1,174646,2,0
11,1,1,25,1,108469,1,0
12,1,1,24,1,127596,1,0
13,1,1,22,1,108687,1,2
14,0,0,60,2,89374,0,0
15,1,1,28,1,102899,1,1
16,1,1,32,1,88428,0,0
17,0,0,53,1,125550,1,0
18,0,0,25,0,157434,1,2
19,1,1,44,2,261952,2,2
20,0,0,31,0,144657,1,1
21,0,0,48,1,118777,1,1
22,0,0,44,1,147511,1,1
23,0,0,48,1,89804,0,0
24,0,0,44,1,134918,1,2
25,0,1,26,1,103667,1,2
26,0,0,36,1,71909,0,0
27,0,1,39,1,68264,0,0
28,1,1,42,2,163025,1,1
29,0,0,34,1,119307,1,1
30,0,0,63,2,175882,1,0
31,0,1,36,1,159646,1,1
32,0,0,27,0,120131,1,1
33,0,0,30,0,162745,1,2
34,0,0,57,2,87605,0,0
35,1,1,33,1,155569,2,1
36,0,0,25,0,104505,0,0
37,0,0,31,0,143385,1,2
38,0,0,37,1,127676,1,1
39,0,0,37,1,119276,1,1
40,0,0,24,0,92542,1,1
41,0,0,30,0,163329,2,1
42,0,1,26,1,130921,1,0
43,0,0,44,1,133658,0,0
44,0,1,24,1,155104,1,1
45,1,1,58,2,142335,0,1
46,1,1,35,1,138387,2,1
47,0,0,39,1,140182,1,0
48,1,1,23,1,65421,0,0
49,0,0,39,1,130500,0,0
50,1,1,28,1,122831,1,0
51,0,0,29,0,84531,0,0
52,0,0,30,0,180196,2,2
53,0,0,25,0,92058,1,2
54,0,0,31,0,117158,1,0
55,0,0,57,2,135830,1,1
56,0,0,26,0,58258,0,0
57,0,0,52,1,202575,2,2
58,1,1,31,1,183657,1,1
59,1,1,23,1,152267,2,1
60,1,1,23,1,115240,0,0
61,0,1,27,1,106955,1,2
62,0,0,50,1,123641,1,1
63,0,0,61,2,166410,2,1
64,0,0,25,0,227385,1,2
65,1,1,26,1,118372,1,1
66,0,0,48,1,148115,1,1
67,1,1,29,1,111069,1,0
68,0,1,22,1,139780,1,0
69,0,0,37,1,106978,1,2
70,1,1,25,1,110019,1,2
71,1,1,30,1,169102,1,1
72,0,0,46,1,73703,0,0
73,0,0,51,1,141858,2,2
74,1,1,41,2,135959,0,0
75,0,0,40,1,140888,2,2
76,0,0,66,2,157299,2,2
77,0,0,34,1,125187,1,1
78,0,0,51,1,155486,1,2
79,0,0,39,1,151697,0,0
80,0,1,22,1,126400,1,1
81,1,1,44,2,159246,1,2
82,0,0,47,1,136138,1,1
83,1,1,24,1,84792,0,0
84,1,1,58,2,100210,0,0
85,0,0,52,1,93706,0,0
86,1,1,29,1,133783,2,1
87,1,1,27,1,110064,1,2
88,0,0,47,1,241068,1,1
89,0,0,30,0,149022,2,2
90,0,0,28,0,92973,1,2
91,0,0,56,1,110605,1,1
92,0,0,54,1,116604,1,1
93,1,1,33,1,71070,0,0
94,0,0,20,0,128678,1,1
95,0,0,54,1,165230,1,2
96,0,0,58,2,268340,1,1
97,1,1,61,2,135070,1,1
98,0,0,34,1,134794,1,2
99,0,0,36,1,120153,1,1
100,0,0,36,1,195465,2,2
101,0,1,41,1,93372,0,0
102,0,0,24,0,110446,1,0
103,1,1,24,1,95186,1,1
104,0,0,35,1,115343,1,1
105,0,1,26,1,107276,1,1
106,0,0,39,1,244716,2,2
107,0,0,39,1,183108,2,2
108,0,0,32,0,152876,1,2
109,1,1,30,1,165147,1,0
110,0,1,35,1,140520,1,0
111,0,1,31,1,124203,1,1
112,1,1,23,1,107205,1,1
113,0,0,28,0,121432,0,2
114,1,1,25,1,162445,1,0
115,0,1,35,1,134112,1,1
116,0,0,47,1,131842,1,1
117,1,1,30,1,189896,2,0
118,1,1,27,1,109099,1,2
119,1,1,23,1,153539,1,1
120,0,1,36,1,180495,2,1
121,1,1,25,1,104653,1,2
122,1,1,41,2,166933,2,2
123,0,0,24,0,66118,0,0
124,0,0,63,2,135754,1,0
125,1,1,27,1,116103,1,2
126,0,0,30,0,104293,1,1
127,0,1,40,1,71702,0,0
128,0,0,30,0,99066,1,2
129,0,0,34,1,143979,2,2
130,1,1,29,1,123818,1,0
131,1,1,24,1,176714,1,2
132,0,0,29,0,149249,1,2
133,0,0,27,0,77535,0,0
134,0,0,47,1,116540,1,1
135,1,1,21,1,194728,1,0
136,1,1,38,1,109311,1,2
137,0,0,27,0,204723,1,2
138,0,0,66,2,126003,0,0
139,0,0,35,1,123109,1,1
140,1,1,44,2,108251,0,0
141,0,1,27,1,89908,0,0
142,1,1,30,1,176057,2,1
143,0,0,27,0,144332,2,2
144,0,0,22,0,101185,1,1
145,1,1,23,1,107406,1,2
146,0,0,30,0,140665,1,1
147,1,1,39,2,106461,1,0
148,1,1,51,2,127825,1,0
149,0,0,28,0,133898,1,1
150,0,0,46,1,152383,1,2
151,0,0,42,1,119926,1,0
152,0,0,38,1,108784,1,2
153,0,0,24,0,153286,1,1
154,1,1,29,1,214204,1,2
155,0,0,36,1,208101,2,2
156,1,1,20,1,95355,1,1
157,0,0,48,1,124156,1,1
158,0,1,45,2,72215,0,0
159,0,0,38,1,146529,1,2
160,0,0,34,1,75343,0,0
161,0,0,36,1,129789,1,1
162,1,1,30,1,101153,1,1
163,0,0,36,1,127833,1,2
164,0,0,70,2,224998,2,2
165,0,0,36,1,124445,1,2
166,0,0,32,0,141116,1,1
167,1,1,33,1,104276,1,2
168,1,1,20,1,147687,1,2
169,1,1,25,1,125168,1,1
170,0,1,31,1,115369,1,2
171,0,0,33,1,95445,1,0
172,1,1,26,1,95159,1,1
173,1,1,34,1,153031,2,2
174,0,0,33,1,108899,1,0
175,0,0,26,0,113515,1,1
176,1,1,53,2,211229,2,0
177,0,1,42,2,121307,1,0
178,0,0,52,1,131727,1,2
179,0,0,31,0,133574,2,1
180,0,0,65,2,117334,1,0
181,0,1,28,1,177291,1,2
182,0,1,30,1,168763,2,1
183,0,0,40,1,77720,0,0
184,0,0,50,1,176645,1,2
185,0,0,36,1,106205,1,1
186,0,0,31,0,97785,1,1
187,1,1,74,3,214364,2,1
188,0,0,68,2,74525,0,0
189,0,1,20,1,98988,1,0
190,1,1,33,1,133561,1,1
191,0,0,54,1,217651,2,2
192,0,0,34,1,116525,0,0
193,0,0,36,1,135302,1,2
194,0,1,29,1,106434,1,1
195,0,0,21,0,128350,1,2
196,1,1,34,1,147626,2,2
197,1,1,28,1,102697,1,0
198,1,1,27,1,120262,1,0
199,0,0,36,1,124214,1,2
200,0,1,40,1,175223,2,1
201,0,0,52,1,137467,1,0
202,0,1,27,1,65815,0,0
203,0,0,26,0,129864,1,1
204,0,1,21,1,88475,1,1
205,0,0,38,1,74666,0,0
